"Gene.name","Length"
"mt-Tp",66
"mt-Tt",66
"mt-Cytb",1143
"mt-Te",68
"mt-Nd6",518
"mt-Nd5",1823
"mt-Tl2",70
"mt-Ts2",58
"mt-Th",66
"mt-Nd4",1377
"mt-Nd4l",296
"mt-Tr",67
"mt-Nd3",347
"mt-Tg",67
"mt-Co3",783
"mt-Atp6",680
"mt-Atp8",203
"mt-Tk",64
"mt-Co2",683
"mt-Td",69
"mt-Ts1",68
"mt-Co1",1544
"mt-Ty",66
"mt-Tc",65
"mt-Tn",70
"mt-Ta",68
"mt-Tw",66
"mt-Nd2",1037
"mt-Tm",68
"mt-Tq",70
"mt-Ti",68
"mt-Nd1",956
"mt-Tl1",74
"mt-Rnr2",1581
"mt-Tv",68
"mt-Rnr1",954
"mt-Tf",67
"Mir6916",62
"Gm24915",77
"Mir7017",61
"Gm26195",100
"Gm27869",121
"Gm23598",143
"Gm25166",110
"Mir452",84
"CT868723.1",6213
"Gm25582",109
"Gm24697",106
"Gm25093",131
"Gm2431",707
"Gm23803",131
"Gm26315",320
"Gm23831",84
"Gm22199",125
"Gm24177",130
"Gm24596",106
"Gm9949",4279
"Gm22739",159
"Gm24918",129
"Gm24264",93
"Gm25337",103
"Gm22325",307
"Gm25825",123
"Mir6399",83
"Ankrd1",7879
"Gm22543",93
"Gm27690",125
"Gm23270",130
"Mir7082",91
"Gm23711",82
"Gm25862",128
"Mir130a",63
"Mc5r",2108
"Dcpp3",1983
"Gm24842",53
"Gm27301",126
"Mir183",69
"Gm24620",129
"Gm22379",130
"Gm23475",61
"Mir193a",65
"n-R5s195",118
"Gm22906",249
"Gm25764",133
"n-R5s142",118
"Gm25961",134
"Snora7a",139
"Fas",37111
"Gm27711",117
"Gm47312",152
"Gm22740",108
"Mir181a-2",75
"Gm24272",97
"Gm24467",125
"Mir6930",67
"Gm24369",95
"Mir34b",83
"Gm23180",124
"Gm22807",128
"Gm24038",158
"Gm24240",134
"Gm24802",120
"Mir697",108
"Gm22535",118
"Gm23257",131
"Gm27438",109
"Btbd35f1",1954
"Mir194-1",66
"Mir330",97
"Mir466h",80
"Mir6342",124
"Gm26022",107
"Gm26317",106
"Ctif",266472
"Gm24140",325
"Mir5133",76
"Gm25365",120
"Mir1943",72
"Dntt",30248
"Mir7212",60
"Mir6951",74
"Gm24621",139
"Gm24236",133
"Gm22213",118
"Gm24074",259
"Gm22942",123
"Wnt8b",20801
"Adcyap1",6063
"Gm24677",149
"Mir8112",130
"Gm25342",121
"Gm24816",150
"Gm26496",106
"Gm26186",124
"Gm26445",108
"Mir6977",63
"Gm25903",102
"Mir6919",61
"Gm22371",129
"Gm24912",116
"Gm24051",74
"Smim3",27790
"Gm23950",128
"Gm24526",157
"Mir6377",113
"Gm24283",106
"Gm23021",168
"Gm23906",127
"Gm25142",106
"Gm25931",82
"Mir3473e",109
"Mir3104",62
"Mir7659",57
"Gm24888",129
"Gm22517",135
"Mir466k",121
"Gm25060",129
"Gm23253",103
"Gm22330",114
"Gm27389",194
"Gm22195",107
"Gm23479",121
"Gm25978",89
"Ankrd2",9072
"Gm24115",109
"n-R5s56",104
"Snord116l7",93
"Gm23882",83
"Mir491",85
"Mir294",83
"Mir6236",122
"Gm27390",175
"Gm44319",92
"Mir7664",62
"Ccl27b",754
"Gm22683",136
"Gm23664",88
"Mir28a",85
"Casp7",45215
"Gm23249",160
"Gm25201",169
"Gm22716",106
"Camkmt",367413
"Gm24997",104
"Mir6360",125
"Gm23801",66
"Gm24050",289
"Mir8106",138
"Gal",4553
"Gm22274",78
"Gm22459",107
"Gm24945",125
"Gm23852",76
"Gm23389",68
"Gm27653",135
"Gm22492",296
"Gm25770",114
"Gm24978",106
"Snord33",83
"Gm23321",125
"Gm23673",297
"Gm25183",105
"Gm22347",131
"Mir331",95
"Gm23901",106
"Gm24197",108
"Gm24853",120
"Gm23736",74
"Gm25578",103
"Gm25249",77
"Mir6939",74
"Gm26035",307
"Gm22590",127
"Gm23189",101
"Gm25047",103
"Gm25859",90
"Gm26096",78
"Gm27449",58
"Gm23100",140
"AF357399",124
"Mir7066",62
"Gm25709",106
"Snora5c",135
"Gm24481",101
"Spindoc",26562
"Gm44363",92
"Fam204a",28111
"Actr1a",18921
"Gm22433",141
"Gm22595",129
"Snord111",88
