"V2","Length"
"TSPAN6",4535
"TNMD",1610
"DPM1",1207
"SCYL3",6883
"C1orf112",5967
"FGR",3474
"CFH",8145
"FUCA2",2793
"GCLC",8463
"NFYA",3811
"STPG1",8511
"NIPAL3",9404
"LAS1L",5589
"ENPP4",4651
"SEMA3F",4826
"CFTR",8517
"ANKIB1",7130
"CYP51A1",4074
"KRIT1",6204
"RAD52",4190
"BAD",1708
"LAP3",3785
"CD99",3284
"HS3ST1",8166
"AOC1",3824
"WNT16",3261
"HECW1",13965
"MAD1L1",7230
"LASP1",7061
"SNX11",3606
"TMEM176A",3479
"M6PR",3777
"KLHL13",6983
"CYP26B1",5015
"ICA1",4891
"DBNDD1",4791
"ALS2",10384
"CASP10",7598
"CFLAR",22529
"TFPI",11714
"NDUFAF7",3651
"RBM5",10368
"MTMR7",5692
"SLC7A2",7905
"ARF5",1871
"SARM1",11137
"POLDIP2",2121
"PLXND1",9738
"AK2",5727
"CD38",6855
"FKBP4",5180
"KDM1A",5435
"RBM6",7302
"CAMKK1",7424
"RECQL",3778
"VPS50",9454
"HSPB6",1722
"ARHGAP33",5260
"NDUFAB1",1600
"PDK4",4519
"SLC22A16",3907
"ZMYND10",4009
"ABCB5",9257
"ARX",2876
"SLC25A13",3710
"ST7",6742
"CDC27",6824
"SLC4A1",5287
"CALCR",4042
"HCCS",2335
"DVL2",5350
"PRSS22",2387
"UPF1",8600
"SKAP2",5520
"SLC25A5",1500
"CCDC109B",3566
"HOXA11",2307
"POLR2J",1355
"DHX33",5872
"MEOX1",2707
"THSD7A",10929
"LIG3",12919
"RPAP3",5381
"ACSM3",7822
"AC004381.6",4114
"CIAPIN1",3509
"SPPL2B",7130
"FAM214B",6409
"COPZ2",1851
"PRKAR2B",4318
"MSL3",6496
"CREBBP",15160
"BZRAP1",11354
"MPO",3526
"PON1",2832
"GCFC2",5465
"WDR54",2860
"CROT",4979
"ABCB4",7494
"KMT2E",9233
"RHBDD2",2441
"SOX8",4432
"IBTK",8722
"ZNF195",5709
"MYCBP2",15945
"FBXL3",7082
"ITGAL",6472
"PDK2",5481
"ITGA3",9802
"ZFX",9037
"LAMP2",5526
"ITGA2B",5551
"ASB4",4605
"GDE1",4416
"C19orf60",3370
"CRLF1",3018
"OSBPL7",6572
"TMEM98",5187
"YBX2",4618
"KRT33A",1287
"MAP3K14",5852
"ABCC8",6778
"CACNG3",3088
"TMEM132A",7271
"AP2B1",7587
"TAC1",1888
"ZNF263",6945
"CX3CL1",5983
"SPATA20",5337
"CACNA1G",9709
"TNFRSF12A",1848
"DLX6",3449
"MAP3K9",12386
"RALA",3665
"BAIAP2L1",4798
"KDM7A",9430
"ETV1",9616
"AGK",6547
"ALDH3B1",6626
"TTC22",6055
"PHTF2",8646
"CCL26",706
"FARP2",14413
"USH1C",4904
"GGCT",1597
"DBF4",4583
"TBXA2R",2793
"IFRD1",7489
"LGALS14",1079
"COX10",3172
"GTF2IRD1",6498
"PAF1",2668
"VPS41",7801
"ARHGAP44",9281
"ELAC2",6345
"SCIN",11623
"ARSD",7030
"PNPLA4",3441
"MYH13",6349
"ADIPOR2",5878
"CDKL3",3057
"UPP2",2957
"PRSS21",1967
"MARK4",6668
"PROM1",7434
"CCDC124",1660
"CEACAM21",1964
"PAFAH1B1",8127
"NOS2",4176
"DNAH9",16980
"KIAA0100",9235
"SLC13A2",3226
"GAS7",10100
"TRAPPC6A",933
"MATK",4141
"CEACAM7",2649
"CD79B",2080
"SCN4A",8247
"ST7L",8111
"TKTL1",3650
"PAX6",14782
"RPUSD1",2769
"RHBDF1",4914
"LUC7L",6176
"CACNA2D2",6322
"BAIAP3",6146
"TSR3",1243
"PIGQ",6404
"CRAMP1",8373
"TEAD3",3046
"SELE",4585
"DNAJC11",5083
"FMO3",3463
"MYLIP",3033
"NOX1",2529
"E2F2",5457
"PSMB1",2256
"SYN1",3209
"JARID2",6015
"CDKL5",15642
"CAMK1G",2676
"CDK11A",4701
"NADK",5570
"TFAP2B",6149
"TFAP2D",1856
"DLEC1",8338
"CYTH3",5808
"ADAM22",12199
"SYPL1",2804
"CYB561",5320
"SPAG9",11963
"CELSR3",13873
"AASS",4591
"PLEKHG6",4260
"SS18L2",1301
"MPND",2049
"MGST1",7440
"CRY1",5062
"PGLYRP1",720
"NFIX",6302
"ST3GAL1",8729
"MMP25",4126
"IL32",3209
"PKD1",18532
"MAPK8IP2",5901
"MED24",6962
"RHOBTB2",6580
"HEATR5B",8206
"SEC62",7928
"RPS20",3002
"CSDE1",5778
"UBE3C",9220
"REV3L",12425
"TENM1",12896
"PAX7",6313
"MASP2",4251
"IYD",10362
"FAM76A",4034
"TRAF3IP3",7750
"POMT2",10008
"VTA1",7262
"MLXIPL",4815
"BAZ1B",7053
"RANBP9",3347
"ETV7",2374
"SPRTN",5906
"METTL13",3827
"DYRK4",7054
"ZNF207",15834
"UQCRC1",3236
"STARD3NL",4348
"CD9",3299
"HHATL",2891
"NCAPD2",6487
"IFFO1",5203
"GIPR",4736
"PHF7",3463
"SEMA3G",5011
"NISCH",9161
"STAB1",10588
"FUZ",2950
"SLC6A13",4243
"IDS",9292
"PRSS3",1664
"ZNF200",7498
"CD4",4583
"LRRC23",3054
"BTK",4575
"HFE",5675
"SCMH1",4447
"FYN",7411
"HIVEP2",9774
"FMO1",3602
"TCEB3",5391
"LYPLA2",2196
"CLCN6",6938
"MRC2",6860
"NME1-NME2",1241
"SLC6A7",4391
"TSPAN9",5714
"BTBD7",11333
"APBA3",5556
"MKS1",4078
"ABHD5",3172
"ANOS1",7132
"AKAP8L",5081
"MBTD1",7201
"UTP18",2721
"RNF216",7619
"TTC19",5966
"PTBP1",6883
"DPF1",4800
"SYT7",5953
"LARS2",5393
"PIK3C2A",9204
"PLAUR",4457
"ANLN",6012
"WIZ",7965
"RABGAP1",9162
"DCN",12847
"QPCTL",2396
"PPP5C",7059
"CEP68",8623
"MAP4K3",6067
"ZBTB32",2770
"TYROBP",907
"TMEM159",2558
"GABRA3",4193
"BRCA1",8922
"ERCC1",5576
"CD22",6159
"SEMA3B",5768
"MBTPS2",8927
"PRICKLE3",3194
"LTF",4247
"EXTL3",13220
"NR1H4",3460
"ELOVL5",3813
"ALOX5",3730
"KDM5D",9463
"CALCOCO1",8898
"UBR7",3694
"MAP4K5",7620
"EHD3",4636
"PSMC4",2387
"MAN2B2",8898
"SLC7A14",10459
"CLDN11",6032
"SLC25A39",3526
"MVP",6141
"NUB1",5411
"PGM3",7335
"RWDD2A",3744
"CLK1",5170
"POLR3B",4858
"ANGEL1",6414
"RNF14",4987
"DNASE1L1",4130
"DDX11",8374
"HEBP1",3442
"GPRC5A",8440
"MAMLD1",5958
"CD6",5958
"TACC3",6528
"UFL1",4539
"POLA2",5726
"ZC3H3",3731
"CAPN1",7553
"ACPP",4193
"MDH1",4990
"SLC30A9",7225
"MTMR11",4591
"COX15",4177
"CCDC88C",12426
"YAF2",10839
"ZMYND11",5300
"WAS",2381
"DPEP1",2737
"BID",4446
"MATR3",11772
"NPC1L1",5252
"XYLT2",5472
"RGPD5",14175
"STMN4",3294
"NUDCD3",10113
"ISL1",2882
"CHDH",7758
"IL20RA",4730
"CLCA1",3340
"CLCA4",3447
"GLT8D1",3916
"ATP2C1",8533
"IGF1",8087
"SLC38A5",4014
"RALBP1",4979
"RUFY3",8070
"CNTN1",7492
"SLC11A1",8676
"WWTR1",8413
"AGPS",8197
"CXorf56",2580
"ATP1A2",6298
"TTC27",3185
"ZNF582",3350
"VSIG2",1432
"PHLDB1",21722
"MARCO",2079
"CYP24A1",3972
"PRDM11",13954
"SYT13",5424
"SNAI2",2282
"CD74",3184
"HGF",8897
"ZRANB1",5993
"NCDN",4917
"ADGRA2",7061
"ZFP64",6997
"MNAT1",3865
"SAMD4A",12170
"RUNX3",4523
"MRE11A",7689
"PLEKHB1",4933
"SERPINB1",3094
"CYP3A43",2637
"SLC7A9",2597
"SPAST",5213
"NRXN3",15535
"OSBPL5",7466
"AQR",13528
"CPS1",10444
"C8B",2729
"FHL1",5997
"RTFDC1",4063
"GABRA1",5676
"NLRP2",6313
"SLC45A4",8608
"RNF10",5911
"ZNF839",5590
"ZDHHC6",3748
"GRAMD1B",12517
"RNH1",7374
"NDUFS1",12268
"RB1CC1",7615
"ERP44",4854
"ALAS1",2536
"BIRC3",7518
"AKAP11",9920
"GLRX2",1299
"SNAPC1",2656
"DERA",2844
"STRAP",2211
"ABCC2",6232
"DEF6",2545
"PLEKHO1",6565
"GCLM",5420
"UBR2",8840
"EHD2",3923
"DEPDC1",5904
"CCDC28A",1507
"RRAGD",5072
"HSF2",2702
"PHF20",8384
"HSD17B6",2272
"NR1H3",4533
"TYMP",3320
"NCAPH2",3159
"TOMM34",2062
"SEC63",8587
"KPNA6",7480
"VIM",4965
"RTEL1-TNFRSF6B",8738
"FAS",3688
"RNASET2",7643
"CD44",10057
"KCNG1",5437
"AGPAT4",8769
"SLAMF7",4833
"BTN3A1",5547
"MIPEP",3407
"PRKCH",8809
"INSRR",5101
"IFNGR1",2571
"B4GALT7",4927
"SH2D2A",2512
"VRK2",3509
"TNFRSF1B",3766
"VEZT",8757
"POU2F2",8903
"BRD9",9572
"SNX1",9780
"TBPL1",5039
"ARNTL2",6983
"BCLAF1",9297
"SLC39A9",7136
"ANK1",10799
"IBSP",1546
"TFB1M",2736
"RABEP1",6531
"HMGB3",3967
"NUP160",8576
"BAK1",2212
"MUSK",4246
"IKZF2",12240
"GRN",3680
"FAM13B",6808
"ARHGAP31",9384
"CENPQ",1733
"SARS",3836
"RANBP3",7445
"ARID4A",7568
"TSSC1",5775
"PNPLA6",7055
"IFT88",6111
"ALG1",4496
"ZCCHC8",9124
"ABCF2",4448
"CHPF2",4205
"LRRC7",14652
"FUT8",6700
"UBA6",11432
"GAB2",6771
"ATP6V0A1",10955
"PIAS1",10776
"SLC4A7",9616
"APBA2",6869
"MAP2K3",3783
"EFCAB1",5805
"TMSB10",496
"ASTE1",3427
"RNF19A",6049
"PEX3",2222
"GABARAPL2",3034
"MYOC",2095
"SH3YL1",11165
"FAM136A",3086
"VCL",9992
"DEPDC1B",3806
"DAPK2",13612
"NSMAF",6165
"ADSS",3666
"STAP1",1655
"TIMP2",5633
"RFC1",6713
"TBC1D23",5168
"CUL3",11505
"MYOM2",7062
"OTC",1585
"CYP46A1",9352
"ZZZ3",9008
"SLC18A1",3910
"USP2",4538
"CASR",5398
"TUBG2",2772
"RPL26L1",1164
"FLT4",8852
"NSUN2",5506
"FBXO42",8984
"MFAP3",4792
"MRI1",3456
"METTL1",2621
"HOXC8",1889
"AGA",2675
"PI4K2B",3540
"BOD1L1",15860
"MAT2B",5153
"TLL1",7522
"EDC4",6173
"TRIO",17500
"VCAN",14831
"CLEC16A",12387
"MSR1",7812
"CDH1",6177
"SKIV2L2",6578
"DNAH5",16475
"ZFYVE16",11461
"FAM65A",6729
"C6",4739
"RAI14",7687
"SOX30",3471
"PNKP",4025
"BEST2",2646
"PHLPP2",12493
"SPDL1",4777
"STAU2",8998
"PQLC2",2686
"CTNS",3398
"RTN4R",3339
"PHF23",2783
"CDH10",3660
"INPP4A",13187
"RAB27B",7432
"PSMA4",6996
"MYO16",9209
"LSG1",4818
"PARP3",2928
"TNC",9636
"THAP3",4072
"FAM65C",6009
"TDP1",6227
"AIFM2",5135
"C2orf83",2087
"SPATA7",6872
"MED17",10773
"RETSAT",4005
"CAPG",2607
"AP2S1",1704
"USH2A",20506
"ZPBP",2643
"TG",11132
"ADAM28",9351
"BARX2",3660
"DCUN1D1",8412
"JADE2",9877
"ZIC2",3310
"LCP2",7244
"TRIT1",2663
"ADRB1",2853
"GUCA2B",597
"CUL7",5628
"CTNNA1",8830
"PHKA2",9029
"CNTLN",11064
"EPHA3",6674
"HSPA5",3908
"DSG2",6190
"GEMIN8",2424
"OFD1",5172
"GPM6B",5675
"MAGEC2",1991
"PREX2",12058
"WDR37",5656
"YTHDC2",10816
"CTPS2",5510
"ATP6V1H",5090
"POLR2B",5901
"FAM214A",9832
"ARAP2",12428
"TPR",12350
"CP",7296
"KIAA0556",9784
"DTNBP1",3052
"XK",5206
"ANO2",6255
"C12orf4",4939
"SCML1",5497
"WWC3",7114
"ARHGAP6",7885
"FAM184B",6622
"MAP4",14943
"GOPC",4628
"ROS1",7856
"USP28",5719
"HDAC9",16827
"TSPAN17",5215
"NOP16",2862
"CC2D2A",7606
"RRM2B",5548
"ZNF800",5793
"TNFRSF17",1118
"SNX29",11298
"LMO3",10268
"MRPS10",2110
"GUCA1A",2341
"RSF1",15740
"VPS13D",20023
"CELF2",10427
"FAM120A",7204
"R3HDM1",7898
"COL9A2",4151
"KITLG",6040
"ERCC8",4847
"ADAMTS6",8567
"H6PD",9321
"VAMP3",2760
"PER3",8099
"UTS2",1791
"TNFRSF9",6331
"EPN3",4642
"LTBP1",7329
"RCN1",7225
"ELN",6542
"RFC2",2211
"ARID1B",16869
"CLPTM1L",6557
"NEDD4L",16120
"FOXP3",2647
"PPP1R3F",4173
"HEXB",5067
"PTCD2",12115
"KIAA2022",11757
"JKAMP",4350
"DKK3",5059
"ARHGEF5",5818
"NFE2L3",4249
"MCUR1",6057
"LIMA1",6317
"LETMD1",6032
"SLC4A8",17980
"LAMC3",7594
"PTGER3",9653
"TNIP3",3768
"MAPK9",8955
"COL23A1",3586
"BCAR1",9178
"FAM160A2",4736
"HERPUD1",5155
"HOMER3",3422
"RAD51",3046
"POLQ",9400
"PIK3CB",7850
"CYBA",3357
"THOC3",3453
"HEBP2",10356
"MPHOSPH9",10304
"PLEKHA5",12558
"PRSS8",3010
"SIKE1",5894
"RRP12",8529
"FNIP2",10868
"MSMO1",2892
"TTC17",11284
"ALX4",5750
"FSTL4",6734
"FOXN3",11033
"METTL24",1774
"AKR7A2",1781
"MRTO4",2822
"NNAT",1297
"USE1",2431
"MCF2L2",20568
"NRIP2",2803
"LAMA3",13522
"AP5M1",13034
"ANAPC4",7494
"KCNQ1",3971
"TRAPPC3",3527
"THRAP3",4736
"PHPT1",1612
"ENTPD2",2633
"LY75",8798
"ARID4B",11073
"OPN3",3442
"SDCCAG8",5322
"PTPRN",8261
"HHAT",6641
"KIF1B",17720
"FOXC1",3926
"TBC1D22A",5315
"SYNE2",31374
"PLEKHH1",10817
"ATP9A",8317
"SPO11",1867
"CBLN4",3024
"CHRDL2",3135
"FAM168A",7887
"RELT",6322
"GALC",6825
"NOP58",3299
"SZRD1",4747
"KCNH2",5877
"CUL1",3548
"FAM114A2",6543
"CYFIP2",10582
"TAB2",5528
"GINM1",2248
"EIF2AK2",10753
"USP36",9235
"KMT2C",20114
"MCOLN3",6623
"CCDC85A",3982
"PUM2",6978
"MRPL43",3573
"ITIH4",5462
"ITIH1",4544
"C4orf27",1436
"ZFR",6792
"ZNF280C",4634
"NPFFR2",2359
"PHF21B",5753
"TRAF1",6449
"RC3H2",11545
"IL17RB",3038
"TRAF3IP2",6553
"GYG2",3646
"DCBLD2",11274
"SERPINB3",2182
"SOAT1",7005
"PKP2",7043
"MSH4",3266
"F7",3795
"GDI2",4033
"PRDM1",6369
"ATG5",3953
"TMCC3",6515
"PITHD1",2186
"MTA3",10580
"USP13",8440
"ATP11B",9196
"LAMC2",6543
"CDK14",6841
"SEC61A1",4697
"PPP1R12A",11815
"RASGRF1",9929
"CAMK2B",8159
"CROCC",8871
"POLR3E",9488
"ATP2B4",9721
"ZC3H11A",9700
"RIOK2",5502
"YIPF1",2075
"NDC1",5135
"DGKG",10978
"FLYWCH1",8419
"UNKL",7494
"TBXAS1",6271
"PARP12",6285
"ALDH18A1",3766
"TARBP1",7743
"GATB",11757
"MXD1",6351
"CDK17",6547
"DNAJC25",2586
"SLC2A3",6159
"PSD",6338
"CTDP1",7415
"YBX3",8610
"STYK1",3424
"WNK1",14370
"CCAR1",6059
"OGFR",4702
"GNA15",2613
"CREB3L3",2678
"PIGV",3382
"PTPRU",6682
"SNRNP40",3881
"RIMBP2",8731
"COL11A1",8281
"QSER1",10537
"MPC1",1546
"ACAA1",7106
"BCAT1",11775
"HDAC7",9928
"LZTS1",5706
"PRDM6",9350
"WNT8A",2089
"SPAG4",2240
"NCKAP1",22520
"MRPS35",1979
"GUCY1B3",3724
"SFSWAP",10157
"TNK2",11297
"MON2",16014
"CDH3",6236
"ARSF",2204
"GPBP1",6472
"DGAT2",7905
"ZNF112",3848
"CS",6402
"LTK",3490
"MRPS24",2613
"ELMO2",6598
"WAPL",7280
"VMP1",6916
"APPBP2",9876
"POLD1",4858
"SEZ6",5115
"EIF4B",6146
"SLC6A16",3599
"GLTSCR1",7507
"SPHK2",6009
"RPL18",4209
"CA11",2075
"ISOC2",4408
"U2AF2",4115
"EPN1",17616
"MED29",3835
"AHRR",7678
"GSC2",1033
"ZNF275",8139
"MTMR1",6323
"GPC1",6516
"ADCK1",5317
"HAGH",5975
"RNF4",7270
"CASP8",7243
"LIMCH1",10862
"ASUN",3345
"TM7SF3",3888
"DLX3",2715
"SPA17",5205
"TSPAN32",3793
"WISP2",4981
"DMRT3",2387
"ST3GAL6",6288
"ATP2C2",7352
"NGFR",4150
"CDON",10600
"TAF2",6547
"HIPK2",15402
"TNPO3",4676
"BORCS8-MEF2B",1931
"RFXANK",2503
"TMEM161A",3281
"LPAR2",2980
"CTSA",5856
"SUGP2",8468
"SLC12A2",10664
"SNX24",3550
"EYA2",3618
"CNN2",3645
"ABCA7",8367
"SNCAIP",7325
"DDX20",6019
"BTBD1",4169
"FAR2",5411
"BCAS1",8186
"POU1F1",1569
"CHI3L2",3295
"SBNO2",6626
"PMS1",5448
"HMG20B",3857
"CALCRL",6144
"TAF11",1580
"ANKS1A",6777
"AP3D1",8601
"ZNF76",6789
"SLC9A3R2",3550
"NTHL1",2430
"UHRF1BP1",9908
"GNAI3",27174
"IPO5",9671
"OAT",3388
"WDR3",10275
"PKN2",6897
"WDR18",2357
"TRAM2",6908
"NTN1",6383
"GLP2R",6052
"MCM10",5454
"DGKA",10215
"ERBB3",8658
"ROPN1",4518
"ANKRD44",11665
"KARS",4065
"ADAT1",4486
"PDIA5",4030
"TBC1D22B",3462
"NDUFB4",1889
"SPEN",13294
"MYLK",22167
"ZC3H15",3125
"MAP2K4",5714
"TMEM206",2914
"SNAP91",6651
"SLK",7974
"CYB5R4",9635
"COL17A1",6426
"GSTO2",9921
"SEC61A2",3916
"PRKCQ",3295
"TLE2",4038
"ASB1",7410
"FAM107B",7019
"ME1",3371
"TBC1D1",9032
"CDK13",8921
"MTHFD2",4870
"SLC9A7",10033
"FOXJ2",6296
